Distance_(microns),Gray_Value
20.8250,694.000
20.8652,694.693
20.9054,697.037
20.9456,699.000
20.9858,699.000
21.0260,697.283
21.0662,678.586
21.1064,649.000
21.1466,649.000
21.1868,649.000
21.2271,650.697
21.2673,654.339
21.3075,655.000
21.3477,655.000
21.3879,636.839
21.4281,590.263
21.4683,571.678
21.5085,580.006
21.5487,585.334
21.5889,577.352
21.6291,564.000
21.6693,564.000
21.7095,564.000
21.7497,566.635
21.7899,573.314
21.8301,577.311
21.8703,580.327
21.9105,576.107
21.9507,564.698
21.9909,562.000
22.0311,562.000
22.0713,557.800
22.1115,546.099
22.1517,540.000
22.1919,540.000
22.2321,538.720
22.2723,533.766
22.3125,529.000
22.3527,529.000
22.3929,528.683
22.4331,524.523
22.4733,517.000
22.5135,517.000
22.5537,517.000
22.5939,520.756
22.6341,529.937
22.6744,532.000
22.7146,532.000
22.7548,538.507
22.7950,557.636
22.8352,568.000
22.8754,568.000
22.9156,567.386
22.9558,564.776
22.9960,562.000
23.0362,562.000
23.0764,562.911
23.1166,570.452
23.1568,583.000
23.1970,583.000
23.2372,583.000
23.2774,585.998
23.3176,593.299
23.3578,593.702
23.3980,592.703
23.4382,592.000
23.4784,591.408
23.5186,589.410
23.5588,587.411
23.5990,587.174
23.6392,595.563
23.6794,611.044
23.7196,618.330
23.7598,621.677
23.8000,593.407
23.8402,538.000
23.8804,538.000
23.9206,538.000
23.9608,545.450
24.0010,565.143
24.0412,568.000
24.0814,568.000
24.1217,563.465
24.1619,549.173
24.2021,542.000
24.2423,542.000
24.2825,540.598
24.3227,534.764
24.3629,529.000
24.4031,529.000
24.4433,526.782
24.4835,508.837
24.5237,477.000
24.5639,477.000
24.6041,477.000
24.6443,478.913
24.6845,484.273
24.7247,485.000
24.7649,485.000
24.8051,482.838
24.8453,475.653
24.8855,472.000
24.9257,472.000
24.9659,468.795
25.0061,454.940
25.0463,441.000
25.0865,441.000
25.1267,440.472
25.1669,436.894
25.2071,431.262
25.2473,432.523
25.2875,434.522
25.3277,430.538
25.3679,415.259
25.4081,416.776
25.4483,420.031
25.4885,414.776
25.5287,386.132
25.5689,372.000
25.6092,371.745
25.6494,377.093
25.6896,403.606
25.7298,429.000
25.7700,429.000
25.8102,429.752
25.8504,434.750
