 ,Area,Circ.,AR,Round,Solidity
191,68.046,0.853,1.204,0.830,0.956
192,51.070,0.885,1.282,0.780,0.968
193,127.374,0.899,1.031,0.970,0.977
194,154.534,0.789,1.791,0.558,0.967
195,56.307,0.557,1.959,0.510,0.875
196,82.230,0.724,1.345,0.743,0.933
197,60.220,0.666,1.167,0.857,0.911
198,71.441,0.870,1.217,0.822,0.967
199,44.280,0.821,1.208,0.828,0.941
200,83.439,0.871,1.346,0.743,0.972
201,89.423,0.789,1.670,0.599,0.956
202,53.631,0.880,1.097,0.912,0.959
203,52.221,0.722,1.723,0.580,0.920
204,93.739,0.803,1.459,0.685,0.946
205,84.503,0.539,1.399,0.715,0.831
206,32.599,0.603,1.676,0.597,0.851
207,52.250,0.688,1.336,0.748,0.906
208,38.353,0.644,1.161,0.862,0.880
209,59.299,0.847,1.083,0.924,0.959
210,78.864,0.566,1.253,0.798,0.867
211,43.733,0.634,1.866,0.536,0.891
212,119.519,0.850,1.194,0.837,0.956
213,125.619,0.833,1.318,0.759,0.969
214,68.362,0.820,1.073,0.932,0.949
215,47.445,0.789,1.514,0.661,0.943
216,98.659,0.679,1.162,0.860,0.921
217,47.330,0.657,1.291,0.775,0.912
218,169.266,0.663,1.130,0.885,0.913
219,106.054,0.717,1.715,0.583,0.941
220,165.410,0.895,1.181,0.846,0.979
221,85.194,0.825,1.524,0.656,0.961
222,37.547,0.832,1.065,0.939,0.944
223,129.762,0.870,1.354,0.739,0.978
224,163.224,0.810,1.440,0.694,0.964
225,172.459,0.889,1.092,0.916,0.979
226,121.648,0.530,1.157,0.865,0.866
227,37.058,0.537,1.548,0.646,0.862
228,48.251,0.854,1.270,0.787,0.947
229,73.397,0.611,1.646,0.607,0.913
230,63.644,0.710,1.271,0.787,0.907
231,131.085,0.886,1.178,0.849,0.978
232,43.359,0.519,1.292,0.774,0.807
233,66.032,0.595,1.302,0.768,0.892
234,172.200,0.877,1.172,0.853,0.975
235,70.261,0.549,1.443,0.693,0.917
236,67.039,0.889,1.269,0.788,0.967
237,184.400,0.828,1.164,0.859,0.964
238,81.338,0.596,1.524,0.656,0.880
239,73.138,0.736,1.471,0.680,0.932
240,34.785,0.705,1.415,0.707,0.889
241,58.896,0.685,1.554,0.643,0.924
242,153.786,0.787,1.500,0.667,0.960
243,42.036,0.769,1.128,0.886,0.913
244,70.722,0.612,1.336,0.748,0.873
245,129.071,0.528,1.563,0.640,0.939
246,61.543,0.855,1.406,0.711,0.964
247,94.056,0.828,1.487,0.672,0.971
248,61.428,0.517,1.712,0.584,0.840
249,131.632,0.886,1.207,0.829,0.974
250,39.044,0.815,1.212,0.825,0.944
251,79.411,0.621,1.651,0.606,0.892
252,74.519,0.789,1.133,0.882,0.933
253,73.886,0.589,1.397,0.716,0.905
254,31.707,0.735,1.262,0.793,0.913
255,143.457,0.654,1.215,0.823,0.920
256,32.455,0.606,1.245,0.803,0.881
257,65.226,0.640,1.264,0.791,0.907
258,64.162,0.735,1.107,0.903,0.946
259,34.728,0.507,1.222,0.818,0.798
260,107.751,0.857,1.418,0.705,0.972
261,84.446,0.548,1.489,0.671,0.908
262,60.565,0.565,1.893,0.528,0.877
263,58.609,0.766,1.330,0.752,0.927
264,97.364,0.731,1.242,0.805,0.930
265,121.015,0.869,1.288,0.776,0.972
266,42.180,0.631,1.229,0.814,0.882
267,108.758,0.606,1.170,0.855,0.935
268,63.126,0.877,1.339,0.747,0.969
269,38.037,0.711,1.441,0.694,0.892
270,37.519,0.849,1.412,0.708,0.939
271,67.585,0.700,1.285,0.778,0.916
272,65.888,0.532,1.422,0.703,0.837
273,36.943,0.536,1.221,0.819,0.856
274,64.795,0.557,1.221,0.819,0.846
275,32.023,0.542,1.600,0.625,0.821
276,54.638,0.581,1.999,0.500,0.901
277,35.246,0.579,1.384,0.722,0.894
278,59.385,0.628,1.670,0.599,0.904
279,46.927,0.578,1.668,0.599,0.828
280,142.882,0.880,1.175,0.851,0.974
281,97.048,0.845,1.197,0.835,0.966
282,159.656,0.694,1.310,0.763,0.930
283,31.275,0.683,1.914,0.523,0.923
284,54.839,0.579,1.676,0.597,0.815
285,31.333,0.555,1.810,0.553,0.882
286,31.103,0.574,1.531,0.653,0.853
287,163.598,0.764,1.517,0.659,0.954
288,123.547,0.770,1.454,0.688,0.950
289,90.258,0.623,1.644,0.608,0.874
290,63.615,0.725,1.572,0.636,0.949
291,83.295,0.733,1.308,0.765,0.928
292,62.004,0.543,1.318,0.759,0.879
293,57.947,0.606,1.203,0.831,0.884
294,55.990,0.637,1.487,0.673,0.908
295,78.116,0.780,1.112,0.899,0.936
296,92.790,0.665,1.165,0.859,0.914
297,52.480,0.665,1.084,0.922,0.875
