 ,Area,Perim.,Circ.,AR,Round,Solidity
259,34.728,29.327,0.507,1.222,0.818,0.798
260,107.751,39.751,0.857,1.418,0.705,0.972
261,84.446,44.021,0.548,1.489,0.671,0.908
262,60.565,36.715,0.565,1.893,0.528,0.877
263,58.609,30.999,0.766,1.330,0.752,0.927
264,97.364,40.909,0.731,1.242,0.805,0.930
265,121.015,41.828,0.869,1.288,0.776,0.972
266,42.180,28.981,0.631,1.229,0.814,0.882
267,108.758,47.479,0.606,1.170,0.855,0.935
268,63.126,30.081,0.877,1.339,0.747,0.969
269,38.037,25.927,0.711,1.441,0.694,0.892
270,37.519,23.570,0.849,1.412,0.708,0.939
271,67.585,34.837,0.700,1.285,0.778,0.916
272,65.888,39.463,0.532,1.422,0.703,0.837
273,36.943,29.426,0.536,1.221,0.819,0.856
274,64.795,38.230,0.557,1.221,0.819,0.846
275,32.023,27.260,0.542,1.600,0.625,0.821
276,54.638,34.374,0.581,1.999,0.500,0.901
277,35.246,27.658,0.579,1.384,0.722,0.894
278,59.385,34.474,0.628,1.670,0.599,0.904
279,46.927,31.941,0.578,1.668,0.599,0.828
280,142.882,45.179,0.880,1.175,0.851,0.974
281,97.048,37.990,0.845,1.197,0.835,0.966
282,159.656,53.750,0.694,1.310,0.763,0.930
283,31.275,23.984,0.683,1.914,0.523,0.923
284,54.839,34.498,0.579,1.676,0.597,0.815
285,31.333,26.647,0.555,1.810,0.553,0.882
286,31.103,26.085,0.574,1.531,0.653,0.853
287,163.598,51.865,0.764,1.517,0.659,0.954
288,123.547,44.898,0.770,1.454,0.688,0.950
289,90.258,42.671,0.623,1.644,0.608,0.874
290,63.615,33.199,0.725,1.572,0.636,0.949
291,83.295,37.781,0.733,1.308,0.765,0.928
292,62.004,37.873,0.543,1.318,0.759,0.879
293,57.947,34.655,0.606,1.203,0.831,0.884
294,55.990,33.223,0.637,1.487,0.673,0.908
295,78.116,35.474,0.780,1.112,0.899,0.936
296,92.790,41.862,0.665,1.165,0.859,0.914
297,52.480,31.503,0.665,1.084,0.922,0.875
